# T; reduced condensate; error of renormalized light quark condensate
125 0.89 0.03
130 0.85 0.04
135 0.81 0.01
140 0.76 0.02
145 0.67 0.02
150 0.59 0.01
155 0.49 0.03
160 0.37 0.02
165 0.28 0.01
170 0.20 0.02
175 0.14 0.01
180 0.11 0.01
185 0.08 0.01
190 0.063 0.009
195 0.051 0.005
200 0.039 0.005
205 0.031 0.004
210 0.024 0.004
215 0.023 0.004
220 0.018 0.003
